date,county,fips,place,confirmed_cases,new_cases,x,y,population,two_week_lag
2020-06-27,Los Angeles,37,Santa Monica,393,8,-118.481816,34.023052,92446,8
2020-06-28,Los Angeles,37,Santa Monica,398,5,-118.481816,34.023052,92446,7
2020-06-29,Los Angeles,37,Santa Monica,401,3,-118.481816,34.023052,92446,-1
2020-06-30,Los Angeles,37,Santa Monica,407,6,-118.481816,34.023052,92446,4
2020-07-01,Los Angeles,37,Santa Monica,414,7,-118.481816,34.023052,92446,0
2020-07-02,Los Angeles,37,Santa Monica,419,5,-118.481816,34.023052,92446,5
2020-07-06,Los Angeles,37,Santa Monica,445,26,-118.481816,34.023052,92446,4
2020-07-07,Los Angeles,37,Santa Monica,457,12,-118.481816,34.023052,92446,4
2020-07-08,Los Angeles,37,Santa Monica,464,7,-118.481816,34.023052,92446,3
2020-07-09,Los Angeles,37,Santa Monica,469,5,-118.481816,34.023052,92446,4
2020-07-10,Los Angeles,37,Santa Monica,482,13,-118.481816,34.023052,92446,6
2020-07-11,Los Angeles,37,Santa Monica,492,10,-118.481816,34.023052,92446,4
2020-07-12,Los Angeles,37,Santa Monica,502,10,-118.481816,34.023052,92446,12
2020-07-13,Los Angeles,37,Santa Monica,508,6,-118.481816,34.023052,92446,3
2020-07-14,Los Angeles,37,Santa Monica,521,13,-118.481816,34.023052,92446,8
2020-07-15,Los Angeles,37,Santa Monica,535,14,-118.481816,34.023052,92446,5
2020-07-16,Los Angeles,37,Santa Monica,543,8,-118.481816,34.023052,92446,3
2020-07-17,Los Angeles,37,Santa Monica,545,2,-118.481816,34.023052,92446,6
2020-07-18,Los Angeles,37,Santa Monica,547,2,-118.481816,34.023052,92446,7
2020-07-19,Los Angeles,37,Santa Monica,551,4,-118.481816,34.023052,92446,5
2020-07-20,Los Angeles,37,Santa Monica,554,3,-118.481816,34.023052,92446,26
2020-07-21,Los Angeles,37,Santa Monica,560,6,-118.481816,34.023052,92446,12
2020-07-22,Los Angeles,37,Santa Monica,571,11,-118.481816,34.023052,92446,7
2020-07-23,Los Angeles,37,Santa Monica,574,3,-118.481816,34.023052,92446,5
2020-07-24,Los Angeles,37,Santa Monica,578,4,-118.481816,34.023052,92446,13
2020-07-25,Los Angeles,37,Santa Monica,587,9,-118.481816,34.023052,92446,10
2020-07-26,Los Angeles,37,Santa Monica,594,7,-118.481816,34.023052,92446,10
2020-07-27,Los Angeles,37,Santa Monica,601,7,-118.481816,34.023052,92446,6
2020-07-28,Los Angeles,37,Santa Monica,605,4,-118.481816,34.023052,92446,13
2020-07-29,Los Angeles,37,Santa Monica,616,11,-118.481816,34.023052,92446,14
2020-07-30,Los Angeles,37,Santa Monica,625,9,-118.481816,34.023052,92446,8
2020-07-31,Los Angeles,37,Santa Monica,634,9,-118.481816,34.023052,92446,2
2020-08-01,Los Angeles,37,Santa Monica,640,6,-118.481816,34.023052,92446,2
2020-08-02,Los Angeles,37,Santa Monica,644,4,-118.481816,34.023052,92446,4
2020-08-03,Los Angeles,37,Santa Monica,649,5,-118.481816,34.023052,92446,3
2020-08-04,Los Angeles,37,Santa Monica,655,6,-118.481816,34.023052,92446,6
2020-08-05,Los Angeles,37,Santa Monica,658,3,-118.481816,34.023052,92446,11
2020-08-06,Los Angeles,37,Santa Monica,666,8,-118.481816,34.023052,92446,3
2020-08-07,Los Angeles,37,Santa Monica,675,9,-118.481816,34.023052,92446,4
2020-08-08,Los Angeles,37,Santa Monica,684,9,-118.481816,34.023052,92446,9
2020-08-09,Los Angeles,37,Santa Monica,685,1,-118.481816,34.023052,92446,7
2020-08-10,Los Angeles,37,Santa Monica,688,3,-118.481816,34.023052,92446,7
2020-08-11,Los Angeles,37,Santa Monica,689,1,-118.481816,34.023052,92446,4
2020-08-12,Los Angeles,37,Santa Monica,693,4,-118.481816,34.023052,92446,11
2020-08-13,Los Angeles,37,Santa Monica,696,3,-118.481816,34.023052,92446,9
2020-08-14,Los Angeles,37,Santa Monica,703,7,-118.481816,34.023052,92446,9
2020-08-15,Los Angeles,37,Santa Monica,707,4,-118.481816,34.023052,92446,6
2020-08-16,Los Angeles,37,Santa Monica,708,1,-118.481816,34.023052,92446,4
2020-08-17,Los Angeles,37,Santa Monica,710,2,-118.481816,34.023052,92446,5
2020-08-18,Los Angeles,37,Santa Monica,710,0,-118.481816,34.023052,92446,6
2020-08-19,Los Angeles,37,Santa Monica,717,7,-118.481816,34.023052,92446,3
2020-08-20,Los Angeles,37,Santa Monica,722,5,-118.481816,34.023052,92446,8
2020-08-21,Los Angeles,37,Santa Monica,728,6,-118.481816,34.023052,92446,9
2020-08-22,Los Angeles,37,Santa Monica,734,6,-118.481816,34.023052,92446,9
2020-08-23,Los Angeles,37,Santa Monica,740,6,-118.481816,34.023052,92446,1
2020-08-24,Los Angeles,37,Santa Monica,744,4,-118.481816,34.023052,92446,3
2020-08-25,Los Angeles,37,Santa Monica,748,4,-118.481816,34.023052,92446,1
2020-08-26,Los Angeles,37,Santa Monica,758,10,-118.481816,34.023052,92446,4
2020-08-27,Los Angeles,37,Santa Monica,764,6,-118.481816,34.023052,92446,3
2020-08-28,Los Angeles,37,Santa Monica,770,6,-118.481816,34.023052,92446,7
2020-08-29,Los Angeles,37,Santa Monica,775,5,-118.481816,34.023052,92446,4
2020-08-30,Los Angeles,37,Santa Monica,777,2,-118.481816,34.023052,92446,1
2020-08-31,Los Angeles,37,Santa Monica,779,2,-118.481816,34.023052,92446,2
2020-09-01,Los Angeles,37,Santa Monica,784,5,-118.481816,34.023052,92446,0
2020-09-02,Los Angeles,37,Santa Monica,789,5,-118.481816,34.023052,92446,7
2020-09-03,Los Angeles,37,Santa Monica,795,6,-118.481816,34.023052,92446,5
2020-09-04,Los Angeles,37,Santa Monica,810,15,-118.481816,34.023052,92446,6
2020-09-05,Los Angeles,37,Santa Monica,814,4,-118.481816,34.023052,92446,6
2020-09-06,Los Angeles,37,Santa Monica,815,1,-118.481816,34.023052,92446,6
2020-09-07,Los Angeles,37,Santa Monica,816,1,-118.481816,34.023052,92446,4
2020-09-08,Los Angeles,37,Santa Monica,816,0,-118.481816,34.023052,92446,4
2020-09-09,Los Angeles,37,Santa Monica,816,0,-118.481816,34.023052,92446,10
2020-09-10,Los Angeles,37,Santa Monica,820,4,-118.481816,34.023052,92446,6
2020-09-11,Los Angeles,37,Santa Monica,824,4,-118.481816,34.023052,92446,6
2020-09-12,Los Angeles,37,Santa Monica,831,7,-118.481816,34.023052,92446,5
2020-09-13,Los Angeles,37,Santa Monica,833,2,-118.481816,34.023052,92446,2
2020-09-14,Los Angeles,37,Santa Monica,833,0,-118.481816,34.023052,92446,2
